
##### CMIP5 GHG data from Harun  /cs/data/ras029/ObsData/GHG-data/CMIP5-AR5_GHGdata/HistGHGm_1850-2005_v2.dat 

 YEARS  CO2  CH4  N2O  CFC_11  CFC_12  CFC_113  HCFC_22  HFC125  HFC134a  
 kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg

 1889.   4.46690E-04  4.72981E-07  4.23931E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1890.   4.46956E-04  4.74089E-07  4.24083E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1891.   4.47184E-04  4.75335E-07  4.24235E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1892.   4.47412E-04  4.76720E-07  4.24387E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1893.   4.47602E-04  4.77966E-07  4.24501E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1894.   4.47754E-04  4.79074E-07  4.24577E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1895.   4.47905E-04  4.80320E-07  4.24653E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1896.   4.48057E-04  4.81704E-07  4.24729E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1897.   4.48247E-04  4.82951E-07  4.24843E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1898.   4.48551E-04  4.84197E-07  4.24957E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1899.   4.48969E-04  4.85581E-07  4.25033E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1900.   4.49425E-04  4.87104E-07  4.25147E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1901.   4.49919E-04  4.89043E-07  4.25299E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1902.   4.50450E-04  4.91258E-07  4.25451E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1903.   4.50982E-04  4.93612E-07  4.25603E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1904.   4.51552E-04  4.96104E-07  4.25755E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1905.   4.52198E-04  4.98597E-07  4.25907E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1906.   4.52881E-04  5.01089E-07  4.26059E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1907.   4.53527E-04  5.03581E-07  4.26249E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1908.   4.54135E-04  5.06212E-07  4.26477E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1909.   4.54743E-04  5.08981E-07  4.26705E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1910.   4.55350E-04  5.11612E-07  4.26932E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1911.   4.55920E-04  5.14104E-07  4.27160E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1912.   4.56452E-04  5.16735E-07  4.27426E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1913.   4.56984E-04  5.19643E-07  4.27692E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1914.   4.57477E-04  5.22689E-07  4.27920E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1915.   4.57933E-04  5.25735E-07  4.28186E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1916.   4.58427E-04  5.28781E-07  4.28490E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1917.   4.58959E-04  5.31827E-07  4.28832E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1918.   4.59453E-04  5.35012E-07  4.29212E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1919.   4.59908E-04  5.38335E-07  4.29554E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1920.   4.60402E-04  5.41519E-07  4.29895E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1921.   4.60972E-04  5.44566E-07  4.30275E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1922.   4.61542E-04  5.47750E-07  4.30617E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1923.   4.62073E-04  5.51073E-07  4.30921E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1924.   4.62681E-04  5.54396E-07  4.31225E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1925.   4.63365E-04  5.57719E-07  4.31529E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1926.   4.64011E-04  5.61042E-07  4.31871E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1927.   4.64656E-04  5.64365E-07  4.32213E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1928.   4.65378E-04  5.67689E-07  4.32478E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1929.   4.66100E-04  5.70873E-07  4.32744E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1930.   4.66783E-04  5.73919E-07  4.33010E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1931.   4.67505E-04  5.76965E-07  4.33238E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1932.   4.68227E-04  5.80012E-07  4.33504E-07  0.00000E+00  1.01249E-14  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1933.   4.68873E-04  5.83058E-07  4.33808E-07  0.00000E+00  3.02744E-14  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1934.   4.69480E-04  5.85965E-07  4.34112E-07  0.00000E+00  5.02257E-14  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1935.   4.70088E-04  5.88735E-07  4.34416E-07  0.00000E+00  8.01056E-14  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1936.   4.70620E-04  5.91504E-07  4.34720E-07  0.00000E+00  1.29926E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1937.   4.71000E-04  5.94273E-07  4.34986E-07  0.00000E+00  2.09635E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1938.   4.71266E-04  5.97042E-07  4.35214E-07  0.00000E+00  3.39082E-13  0.00000E+00  1.59558E-14  0.00000E+00  0.00000E+00
 1939.   4.71455E-04  5.99811E-07  4.35441E-07  1.67052E-14  5.38281E-13  0.00000E+00  6.31515E-14  0.00000E+00  0.00000E+00
 1940.   4.71569E-04  6.02719E-07  4.35669E-07  4.97361E-14  8.26729E-13  0.00000E+00  1.40288E-13  0.00000E+00  0.00000E+00
 1941.   4.71569E-04  6.05765E-07  4.35935E-07  8.20438E-14  1.22350E-12  0.00000E+00  2.46083E-13  0.00000E+00  0.00000E+00
 1942.   4.71455E-04  6.08673E-07  4.36239E-07  1.13652E-13  1.74801E-12  0.00000E+00  3.79416E-13  0.00000E+00  0.00000E+00
 1943.   4.71304E-04  6.11442E-07  4.36543E-07  1.44573E-13  2.40901E-12  0.00000E+00  5.39123E-13  0.00000E+00  0.00000E+00
 1944.   4.71190E-04  6.14350E-07  4.36885E-07  1.91522E-13  3.21529E-12  0.00000E+00  7.24055E-13  0.00000E+00  0.00000E+00
 1945.   4.71152E-04  6.17396E-07  4.37265E-07  2.54122E-13  4.25595E-12  0.00000E+00  9.33167E-13  0.00000E+00  0.00000E+00
 1946.   4.71190E-04  6.20580E-07  4.37645E-07  3.32040E-13  5.64162E-12  1.94809E-13  1.16556E-12  0.00000E+00  0.00000E+00
 1947.   4.71304E-04  6.24042E-07  4.38025E-07  4.75000E-13  7.80393E-12  8.25521E-13  1.42020E-12  0.00000E+00  0.00000E+00
 1948.   4.71493E-04  6.27642E-07  4.38404E-07  7.82024E-13  1.12895E-11  1.78993E-12  1.69603E-12  0.00000E+00  0.00000E+00
 1949.   4.71759E-04  6.31380E-07  4.38784E-07  1.36629E-12  1.58437E-11  2.93782E-12  1.99231E-12  0.00000E+00  0.00000E+00
 1950.   4.72139E-04  6.35396E-07  4.39126E-07  2.35508E-12  2.08905E-11  4.21833E-12  2.30814E-12  0.00000E+00  0.00000E+00
 1951.   4.72671E-04  6.39688E-07  4.39430E-07  3.85653E-12  2.63568E-11  5.67414E-12  2.65487E-12  0.00000E+00  0.00000E+00
 1952.   4.73279E-04  6.44396E-07  4.39772E-07  5.53677E-12  3.26079E-11  6.62733E-12  2.79861E-12  0.00000E+00  0.00000E+00
 1953.   4.73924E-04  6.49519E-07  4.40152E-07  7.47879E-12  3.94955E-11  6.97017E-12  2.75234E-12  0.00000E+00  0.00000E+00
 1954.   4.74684E-04  6.54780E-07  4.40494E-07  1.01915E-11  4.69196E-11  7.36801E-12  2.78219E-12  0.00000E+00  0.00000E+00
 1955.   4.75558E-04  6.60180E-07  4.40836E-07  1.36866E-11  5.52683E-11  7.82730E-12  2.89712E-12  0.00000E+00  0.00000E+00
 1956.   4.76469E-04  6.65857E-07  4.41215E-07  1.79975E-11  6.46397E-11  8.36098E-12  3.15533E-12  0.00000E+00  0.00000E+00
 1957.   4.77419E-04  6.71811E-07  4.41557E-07  2.33374E-11  7.53678E-11  8.98845E-12  3.55236E-12  0.00000E+00  0.00000E+00
 1958.   4.78365E-04  6.77903E-07  4.41899E-07  2.95761E-11  8.77029E-11  9.71620E-12  4.04641E-12  0.00000E+00  0.00000E+00
 1959.   4.79356E-04  6.84134E-07  4.42317E-07  3.58384E-11  1.01082E-10  1.05474E-11  4.75539E-12  0.00000E+00  0.00000E+00
 1960.   4.80530E-04  6.90642E-07  4.42773E-07  4.18210E-11  1.15525E-10  1.15081E-11  5.69124E-12  0.00000E+00  0.00000E+00
 1961.   4.81749E-04  6.97426E-07  4.43191E-07  4.88255E-11  1.32264E-10  1.26175E-11  6.71665E-12  0.00000E+00  0.00000E+00
 1962.   4.82843E-04  7.04488E-07  4.43571E-07  5.80235E-11  1.51591E-10  1.38854E-11  7.89878E-12  0.00000E+00  0.00000E+00
 1963.   4.83758E-04  7.11688E-07  4.44026E-07  6.97846E-11  1.73590E-10  1.53344E-11  9.38093E-12  0.00000E+00  0.00000E+00
 1964.   4.84560E-04  7.19026E-07  4.44596E-07  8.43913E-11  1.99262E-10  1.70033E-11  1.12452E-11  0.00000E+00  0.00000E+00
 1965.   4.85658E-04  7.26641E-07  4.45204E-07  1.01938E-10  2.29297E-10  1.89246E-11  1.34841E-11  0.00000E+00  0.00000E+00
 1966.   4.87177E-04  7.34395E-07  4.45812E-07  1.22236E-10  2.63631E-10  2.11305E-11  1.61588E-11  0.00000E+00  0.00000E+00
 1967.   4.88632E-04  7.42287E-07  4.46420E-07  1.44999E-10  3.02181E-10  2.36663E-11  1.93992E-11  0.00000E+00  0.00000E+00
 1968.   4.90197E-04  7.50457E-07  4.47065E-07  1.70514E-10  3.45510E-10  2.65772E-11  2.33157E-11  0.00000E+00  0.00000E+00
 1969.   4.92122E-04  7.58903E-07  4.47787E-07  1.99419E-10  3.94204E-10  2.99151E-11  2.80935E-11  0.00000E+00  0.00000E+00
 1970.   4.93767E-04  7.67487E-07  4.48547E-07  2.32615E-10  4.48533E-10  3.37447E-11  3.34639E-11  0.00000E+00  0.00000E+00
 1971.   4.95089E-04  7.76072E-07  4.49307E-07  2.70626E-10  5.08435E-10  3.81370E-11  3.91506E-11  6.04955E-15  0.00000E+00
 1972.   4.97041E-04  7.84795E-07  4.50104E-07  3.12833E-10  5.73137E-10  4.31730E-11  4.52105E-11  1.81487E-14  0.00000E+00
 1973.   4.99377E-04  7.93656E-07  4.50978E-07  3.59641E-10  6.43057E-10  4.89594E-11  5.19123E-11  3.02478E-14  0.00000E+00
 1974.   5.00996E-04  8.02518E-07  4.51890E-07  4.12780E-10  7.19865E-10  5.55997E-11  5.95095E-11  4.23469E-14  0.00000E+00
 1975.   5.02276E-04  8.11379E-07  4.52801E-07  4.72155E-10  8.03978E-10  6.32103E-11  6.72859E-11  5.44460E-14  0.00000E+00
 1976.   5.04042E-04  8.20241E-07  4.53789E-07  5.32573E-10  8.89761E-10  7.19335E-11  7.53011E-11  6.65451E-14  0.00000E+00
 1977.   5.06359E-04  8.29241E-07  4.54868E-07  5.91379E-10  9.72204E-10  8.19602E-11  8.42716E-11  7.86442E-14  0.00000E+00
 1978.   5.08752E-04  8.38379E-07  4.55966E-07  6.48288E-10  1.05152E-09  9.34424E-11  9.40630E-11  9.07433E-14  0.00000E+00
 1979.   5.11301E-04  8.47517E-07  4.56965E-07  7.05671E-10  1.12916E-09  1.06574E-10  1.04436E-10  1.02842E-13  0.00000E+00
 1980.   5.14089E-04  8.57210E-07  4.57941E-07  7.55941E-10  1.19950E-09  1.21647E-10  1.15347E-10  1.14942E-13  0.00000E+00
 1981.   5.16166E-04  8.67733E-07  4.59214E-07  7.99334E-10  1.27004E-09  1.38918E-10  1.26691E-10  1.20991E-13  0.00000E+00
 1982.   5.17784E-04  8.78533E-07  4.60547E-07  8.43439E-10  1.34289E-09  1.58163E-10  1.37826E-10  1.26170E-13  0.00000E+00
 1983.   5.19919E-04  8.89385E-07  4.61622E-07  8.81141E-10  1.41155E-09  1.78572E-10  1.49259E-10  1.37151E-13  0.00000E+00
 1984.   5.22327E-04  8.99277E-07  4.62522E-07  9.18843E-10  1.48189E-09  2.00437E-10  1.61707E-10  1.48546E-13  0.00000E+00
 1985.   5.24606E-04  9.07190E-07  4.63571E-07  9.61999E-10  1.55494E-09  2.29191E-10  1.74528E-10  1.53518E-13  0.00000E+00
 1986.   5.26908E-04  9.14081E-07  4.64611E-07  1.00587E-09  1.62716E-09  2.58430E-10  1.87619E-10  1.41502E-13  0.00000E+00
 1987.   5.29715E-04  9.20597E-07  4.65356E-07  1.05661E-09  1.70585E-09  2.86473E-10  2.01246E-10  1.36115E-13  0.00000E+00
 1988.   5.32894E-04  9.26617E-07  4.66773E-07  1.11399E-09  1.78850E-09  3.26870E-10  2.16246E-10  1.59112E-13  0.00000E+00
